,pc1,pc2,pc3,GMM_cluster,K_means_cluster,target
159,-0.009714579631972774,0.0021723340899839983,-0.007154646260337796,0,5,0
160,-0.014708199075044656,0.0019672217916600725,-0.0026263082423464944,0,1,0
161,0.005788726199357846,0.0029000316602367866,0.015081071331618153,0,0,0
162,0.00519216253745158,0.002845752272317715,0.0037330893749544587,0,0,0
163,0.007637783205589697,-0.061601362934891185,0.0036494906043639634,1,0,1
164,3.399463183915741e-05,0.002584774976795764,-0.011196486746222587,0,3,0
165,0.000382318186769873,0.002625619162297589,-0.0009164836312545613,0,3,0
166,0.004985103569228919,0.0028110255570219255,-0.00654905861902481,0,0,0
167,0.006419473491395748,0.0029556997703975357,0.0263917799093733,0,0,0
168,-0.0004800569206632622,0.0025368136593105057,-0.021449565596769894,0,3,0
169,-0.001505620990095605,-0.013968660156588809,-0.004815912897477722,1,3,0
170,-0.013998627620063635,0.00204948722245102,0.01794038524776734,0,1,1
171,-0.007105532085126986,-0.038748921206763265,-0.005876117109551068,1,5,1
172,0.004280432543804185,0.0027419230673379675,-0.021944498642462243,0,0,0
173,0.01932714421571573,0.0034265590339764606,-0.008999983325936121,0,4,0
174,0.00999525499522964,-0.020832833213549087,0.0019025145740285542,1,0,0
175,0.005039353402200093,0.0028289085408274043,-0.000347417619620003,0,0,1
176,0.01962722585609086,0.0034653917994998114,0.0013116969404508277,0,4,0
177,0.006794852997319773,-0.033729772451675515,-0.003836435478331043,1,0,1
178,0.005466087057807847,0.0028474031631951805,-0.00034878929442128077,0,0,0
179,0.005386993593093643,0.0028440932904937283,-0.0003012706345435656,0,0,0
180,-0.008076636518915168,-0.03436581481121887,-0.00041084024579398563,1,5,1
181,0.00010784689066068034,0.0026136605175682815,-0.0009410434269629274,0,3,0
182,0.0053222146754004895,0.002841274600958585,-0.0003055083154558497,0,0,0
183,0.015979830157228297,0.0033702456365045257,0.026448271393988816,0,4,0
184,0.0053101744857447265,0.002840619833249475,-0.0003586930402787842,0,0,0
185,0.005400196758217709,0.0028446045233084527,-0.00032577858110952274,0,0,0
186,0.01837017182775001,0.0033284769859333774,-0.03159984656458571,0,4,0
187,-0.005796949674104888,0.002284278941568143,-0.03026112822365108,0,5,0
188,0.024452351087538314,0.00368873711230151,0.006979529678970985,0,2,0
189,0.005763640274526062,0.002886131059837383,0.009965011947394641,0,0,0
190,0.006255019685712085,0.0029331605087621606,0.020238574892573746,0,0,1
191,0.005103003242636793,0.00283171736501643,-0.0003275489435229931,0,0,0
192,0.00019184943724110683,0.0026172670574479313,-0.0009548648795947268,0,3,0
193,0.004312978153451612,0.002735694450401777,-0.024994808613165127,0,0,0
194,0.0054069178216038394,0.0028449609576000124,-0.00029966748695069205,0,0,1
195,-0.01494129490080141,0.001944246551318747,-0.007765471306793675,0,1,0
196,-0.00012556515148747592,0.00259071201757105,-0.006064218270139397,0,3,0
197,0.006272276958386086,0.0029158940625029404,0.013045489737712083,0,0,0
198,0.019495530731574263,0.0034596692246863935,0.0013061511045058761,0,4,0
199,0.0054388828565305365,0.002846265217058124,-0.0003322637997803098,0,0,0
200,-0.0004994301868428415,0.0025359050152256057,-0.02147724902297717,0,3,0
201,0.0006405666258620589,0.0026599033574049337,0.008302947681228004,0,3,0
202,-0.014144198456262535,0.0020430774827693912,0.0179004204416866,0,1,0
203,0.0008032652489438778,0.002684915261032029,0.01547393687029808,0,3,0
204,-0.01470682293364704,0.001967385820723489,-0.0025844331902479508,0,1,1
205,0.006949211978266789,0.00302489947415039,0.04485386691178056,0,0,1
206,0.005672106652181183,0.002882132349548426,0.009952634264129352,0,0,0
207,-0.025422292251037027,0.010971982480693547,0.01759493735896039,1,6,1
208,0.00012641693594502232,0.0026144869107004747,-0.0009324208689476187,0,3,0
209,-0.019067582374509194,0.0018027312381941557,0.007145199982832901,0,6,1
210,0.02736748463740451,0.01431044153278721,0.0032294851073936546,1,2,0
211,-0.0008144147161105547,0.0025222083700006427,-0.021494338042286936,0,3,0
212,0.00018167260806222163,0.0026169763531428618,-0.0008946711865085819,0,3,0
213,0.006581292146404586,0.002972937577260225,0.03047390381613031,0,0,0
214,0.004625834855174047,0.002772325186017552,-0.015783579660232267,0,0,0
215,-0.014839528463025088,0.001961474028541875,-0.002648285347815326,0,1,0
216,-0.02052634814804427,0.009302932470341061,0.0025888071120840307,1,6,0
217,0.0031376730496601767,0.011809484632927627,0.00036265339504950797,1,0,1
218,-0.013382546136270322,0.0021019551973598827,0.028227127598303512,0,1,1
219,-0.02478496856269983,0.011025372847746285,0.027882348856940145,1,6,1
220,-0.0011994030779974814,0.0024798613453813735,-0.03173968881271055,0,3,0
221,-0.004746108054378139,0.0024018708380167146,-0.0014959287795199352,0,5,0
222,-0.02148845094209456,0.01073502443153831,-0.0024375073534630373,1,6,1
223,3.97831615283507e-05,0.002610708443070958,-0.0009416997160860811,0,3,0
224,-0.014785012902725051,-0.02191147461576541,0.00010067197628421928,1,1,0
225,-0.00468388040095595,0.0024046066341171825,-0.0014805379644278385,0,5,1
226,-0.009376375507829762,0.0021998945384588266,-0.002003767000889664,0,5,0
227,0.005373563089853829,0.0028435119934944824,-0.0003008688628647548,0,0,0
228,0.00019765307814001095,0.0026176247860777943,-0.0009125706485690234,0,3,0
229,0.014153912433400074,0.003175235075151646,-0.01981449930503242,0,4,0
230,0.005525424118653656,0.0028500378813270484,-0.0003236168697184009,0,0,0
231,0.004372903137476495,0.0027408133509135317,-0.023988086850705203,0,0,0
232,-0.009593963128075252,-0.0693003219416482,0.03167309058391003,1,5,1
233,0.005342977483493885,0.0028421755626495287,-0.00030512547291537207,0,0,0
234,-0.014679107954644813,0.0019685042904772285,-0.0026175435271437865,0,1,0
235,0.0047843664529997505,0.0028099706871681945,-0.0034960254157771907,0,0,1
236,-0.0045460700116569655,0.002410660419973126,-0.0014483832404514469,0,5,0
237,-0.014623448552293831,0.0019915149042762153,0.005606983061884136,0,1,1
238,-0.019394253735632562,0.0017500019934954204,-0.008255035922319258,0,6,1
239,0.015403101639530502,0.003316872384737075,0.015118881175606455,0,4,0
240,0.00506833094282363,0.002830103002838166,-0.0003721353618079203,0,0,0
241,0.00043953788528468333,0.0026281254762531175,-0.0009062248780375746,0,3,0
242,-0.008712905750232671,0.0022800977479044437,0.01853725303747735,0,5,0
243,-0.015148608816874784,-0.02194014374834347,-0.005053433273866644,1,1,0
244,0.024565272030445198,0.0036808194441592694,0.0018636384911019472,0,2,0
245,0.005496052815852876,0.0028488506801766992,-0.0002892983547834002,0,0,1
246,0.005554900870321628,0.002851323391963042,-0.0003205310706523314,0,0,0
247,0.005232255366046952,0.00283723871924075,-0.0003602678481861385,0,0,0
248,-0.008418354331949552,-0.03254793434198756,-0.010507981343659536,1,5,1
249,0.005263069284197548,0.002838645224574784,-0.0003318976564151976,0,0,0
250,0.0013964262789789288,0.0027288271719738484,0.0227411536337777,0,3,0
251,-0.00015792327446152683,0.0025764058588747447,-0.011216366604407313,0,3,0
252,-0.014674183884341222,0.001973832147268068,-0.0005755598919669829,0,1,0
253,0.0013532027690307878,0.0027447906327644866,0.029863211985953365,0,3,0
254,0.0007863366040814195,0.0026689516169063204,0.009392959408573442,0,3,1
255,0.005352488679444415,0.0028424387820437822,-0.00036479080999159423,0,0,0
256,0.005469615464683743,0.002847695328425582,-0.00029304827194908057,0,0,0
257,0.0002027594709915201,0.002617859794838738,-0.000907009117822353,0,3,0
258,0.006746652784382911,0.002993023005570193,0.03563185375384586,0,0,0
259,0.005284620180136864,0.002839514435038752,-0.00035775080486637537,0,0,0
260,-0.0156941155037053,0.009407838252426982,0.010300070718973712,1,1,1
261,-0.009452874911685597,0.002196620932971702,-0.0019867703523672405,0,5,1
262,0.004364329133995735,0.0027481132268818826,-0.020924917631814373,0,0,0
263,0.001363607023831098,0.002732497464150115,0.02477474355579114,0,3,0
264,-0.004471562007525201,0.002413848182633298,-0.0014652383898613366,0,5,0
265,0.005120224771758265,0.0028323559860092126,-0.0003707417296280295,0,0,0
266,0.0001673311779534509,0.002616242705702181,-0.0009395645206528085,0,3,0
267,0.0055360215296612805,0.0028504946255696194,-0.0003247478114273478,0,0,0
268,0.012021451002710046,-0.029465318233108814,0.01247872992764463,1,4,0
269,0.004458675842098769,0.0027523279662538336,-0.020874892851825904,0,0,0
270,0.01405367142827036,0.003170875998938972,-0.019819927103893294,0,4,0
271,-0.010530281392380806,-0.02173863176440425,-0.004524212576942032,1,5,0
272,0.032831267547905,-0.012485928912356243,0.006247613959075699,1,2,0
273,0.00533886025986359,0.0028418577996833375,-0.0003608766583948777,0,0,0
274,0.005313500731825913,0.002840890052013535,-0.00030821127198144157,0,0,0
275,-0.0015527704213839045,0.012924784891119308,-4.8688615735406386e-05,1,3,0
276,0.03039599467101335,0.003986414187593545,0.022967959149577045,0,2,0
277,-0.014787321898945122,0.0019638666936060215,-0.0025962475350341198,0,1,1
278,0.004194114561424502,0.002733026531551262,-0.024002789653608702,0,0,0
279,0.0002957957724785956,0.002621955462566202,-0.0008818238416580689,0,3,0
280,0.029341882845855108,0.0038892392929155465,0.0024115622805248706,0,2,0
281,0.014422036503166067,0.0032125901376809252,-0.009539645040883242,0,4,0
282,-0.0023244335428661157,-0.064593447004489,-0.0028413343160640027,1,3,1
283,-0.005919308155043281,0.0022686943992675838,-0.03436609130887392,0,5,0
284,0.0171093387698141,0.010912471395810497,-0.028951086684137067,1,4,0
285,0.00526979422791106,0.002838978550607975,-0.000315160884031977,0,0,1
286,0.013643207838880239,0.0031529153436809197,-0.019887333784198515,0,4,0
287,0.005457327762379271,0.0028471331369266275,-0.000304929000070517,0,0,0
288,0.0071067453732613405,-0.03369062828360375,0.006395162673124216,1,0,1
289,-0.016566643790151887,-0.00916091219836959,0.016499953702479593,1,1,0
290,-0.015871513050912073,0.008301929819233224,-0.0021060488462101945,1,1,0
291,8.237293046746376e-05,0.002612635297313213,-0.0009093467720522029,0,3,1
292,0.019723448915295417,0.0034695483609881567,0.0013058652116355839,0,4,0
293,-0.014111557431514142,0.0020317562274639717,0.012815133742577336,0,1,1
294,-0.0018883107943067916,-0.01225991693475217,-0.002616384353159868,1,3,1
295,-0.00052703652332305,0.0025448956371818907,-0.017409644989655946,0,3,0
296,-0.00038535671361945715,0.0025536985484403904,-0.01634682596858026,0,3,1
297,-0.004081296939023499,0.0024565793848526983,0.008842277323933265,0,5,1
298,0.0011100003317139051,0.002703551273373365,0.01760628981978776,0,3,0
299,-0.017178140095610517,0.009421684207514354,-0.030770835273312418,1,1,0
300,0.0006323966147074013,0.00267494840545526,0.014451685952823427,0,3,0
301,0.0004688580026530699,0.002639731608320124,0.003220580448269674,0,3,0
302,0.007997168200751536,0.0031063482905671937,0.059237523532181986,0,0,0
303,0.0005112959349898567,0.002631246222153042,-0.0009020911997353692,0,3,0
304,0.005248339480609987,0.0028379643950331864,-0.00034874204343247493,0,0,0
305,-0.024579561173158657,0.0015237697976286848,-0.008841570810582771,0,6,1
306,-0.016437448287146026,0.010871047880030783,-0.007012375659648861,1,1,1
307,0.020704585670352563,0.0035635423107514288,0.02185510279346231,0,4,0
308,-0.02914965192168166,0.0013372583938468623,-0.004216103328192125,0,6,1
309,0.005277595641867583,0.002839270690861457,-0.0003334741325090502,0,0,0
310,-0.015284753618358751,0.001942081624654788,-0.0026855645558208087,0,1,0
311,0.0001519717588788611,0.0026156776653725312,-0.0008991456455051791,0,3,1
312,-0.009185195015760242,0.002208180858376336,-0.002004113995028164,0,5,0
313,0.0009254696943959866,0.0027006248166380835,0.019631566825849878,0,3,0
314,0.005538502419203473,0.00285061212257822,-0.0003206802314494814,0,0,0
315,0.0009351372255044266,0.002675363142913584,0.009377537502184216,0,3,0
316,-0.01931859302197269,0.0017917751046913643,0.007114845531190752,0,6,0
317,-0.014716939517347498,0.0019668400700201074,-0.002627362401793422,0,1,0
318,0.004930174844829612,0.002798500275233083,-0.010599436451721287,0,0,0
319,0.012854767100693283,-0.06518298002332656,-0.006370676628280252,1,4,1
320,0.018462868588825933,0.003355565633564506,-0.022388195634676797,0,4,0
321,0.00023896608475277193,0.0026321700298437907,0.004180189971048296,0,3,0
322,0.0058686450769341965,0.0028854372227926166,0.00787037031186657,0,0,0
323,-0.000545296311274659,-0.019547621906316582,0.0069943441908619985,1,3,0
324,0.005569213313928651,0.0028519628982833314,-0.00031295634482260323,0,0,0
325,-0.02701676213798183,0.0015582068757099936,0.04709011959371545,0,6,0
326,-0.016355619714413676,0.0018133507010430327,-0.035551896776893785,0,1,0
327,-0.015668635970212265,0.0018741640982146773,-0.023159768736230702,0,1,0
328,0.014628863652487228,0.003247261924115156,0.0007246557787537577,0,4,1
329,0.005873354109289543,0.002903727931342307,0.015092295879618085,0,0,0
330,0.005554900870321628,0.002851323391963042,-0.0003205310706523314,0,0,0
331,0.0002559681491328741,0.0026201013086483062,-0.0009329643355609431,0,3,0
332,0.005400806659545713,0.0028446998070558996,-0.0002981595290087615,0,0,0
333,0.004900368374537466,0.002822818293662317,-0.00037376742932931234,0,0,1
334,0.004317854747387304,0.00274610630686953,-0.020921894364247566,0,0,1
335,0.005342087752750141,0.002842134900604376,-0.00030598577683597667,0,0,0
336,0.00543400365508114,0.002846131806696113,-0.00030097752741052364,0,0,0
337,0.00015931643635574419,0.002615902493603313,-0.0009367610456181831,0,3,0
338,0.005534345116348956,0.0028504291489641256,-0.00032188783642652865,0,0,0
339,0.00017260376042837726,0.002616470561661635,-0.0009398521735423433,0,3,0
