,pc1,GMM_cluster,K_means_cluster,target
594,-0.8967585378875274,1,0,0
595,-0.8420190349091154,1,0,0
596,-0.36100312151704983,1,0,1
597,0.7614392537804127,0,1,1
598,-1.4418895980234823,1,0,0
599,1.7991308694457102,0,1,1
600,1.563254023441108,0,1,0
601,-1.4227110639831797,1,0,0
602,-0.28172184877955425,1,0,0
603,1.4317294001803935,0,1,1
604,-0.9135612186310685,1,0,0
605,-1.0431907532050448,1,0,0
606,-1.3292308917627085,1,0,0
607,0.06031120797996866,1,0,1
608,1.9555776972986822,0,1,1
609,-0.889061644533824,1,0,0
610,-0.8993387361500041,1,0,0
611,-1.4568127155505444,1,0,0
612,-0.0368325119948407,1,0,0
613,3.8164206843116246,0,1,1
614,0.9567118145910298,0,1,1
615,0.20166200443853347,1,0,0
616,0.2601189076602469,0,1,0
617,2.582025172855904,0,1,1
618,0.7938708996738022,0,1,1
619,1.420057917199035,0,1,1
620,-0.9058061532850755,1,0,0
621,1.688402494819211,0,1,0
622,-0.016214862575853577,1,0,1
623,-0.7801734964914023,1,0,0
624,-0.8402852083765536,1,0,0
625,-0.37939602377550785,1,0,0
626,2.9902147748891865,0,1,1
627,0.3305083171782018,0,1,0
628,1.2945362657544974,0,1,0
629,-0.855480917833434,1,0,0
630,-0.3672764231207211,1,0,0
631,1.0965321257703613,0,1,1
632,-0.6917607441626848,1,0,0
633,-1.2824306406082067,1,0,0
634,-0.5161822329331034,1,0,0
635,-2.126309228754198,1,0,0
636,-0.09817874946755928,1,0,0
637,0.3198364853057518,0,1,0
638,1.0662052314774715,0,1,0
639,-0.36687422572334055,1,0,0
640,-1.8308314607107425,1,0,0
641,0.5711525573906739,0,1,0
642,-1.018368129423963,1,0,0
643,1.0701042282933195,0,1,1
644,-1.2769399462773336,1,0,0
645,-0.3575583184476187,1,0,0
646,-0.11703971353194426,1,0,1
647,-0.2751649167410435,1,0,0
648,-1.5464433460741014,1,0,0
